板块代码,板块名称,板块指数,涨跌幅(%),今开,昨收,最高,最低,成交量,成交额,总市值,上涨家数,下跌家数,平盘家数,板块类型,资金净流入(亿)
885998,F5G概念,4124.06,1.45,3994.00,4064.94,4150.61,3962.07,1142.39,,,24,11,,概念板块,
885856,仿制药一致性评价,1659.47,2.65,1608.87,1616.67,1662.79,1598.23,4291.83,,,120,21,,概念板块,
886003,钒电池,1390.35,0.84,1369.08,1378.80,1392.89,1365.02,1620.54,,,25,12,,概念板块,
886066,飞行汽车(eVTOL),1749.42,1.47,1714.97,1724.11,1754.49,1707.75,1922.07,,,106,29,,概念板块,
885641,风电,1243.82,1.26,1220.82,1228.29,1246.92,1216.83,11126.80,,,342,95,,概念板块,
885805,芬太尼,2104.37,1.63,2063.38,2070.67,2106.21,2056.76,47.18,,,7,1,,概念板块,
885551,氟化工概念,5404.12,-0.25,5360.04,5417.68,5421.76,5296.25,1829.55,,,26,41,,概念板块,
885617,福建自贸区,1540.81,1.62,1506.98,1516.18,1544.53,1504.07,2558.57,,,97,30,,概念板块,
885786,富士康概念,3528.58,1.54,3433.36,3475.13,3552.29,3368.77,1868.68,,,76,32,,概念板块,
885909,辅助生殖,1231.33,2.19,1197.54,1204.90,1233.78,1191.27,1278.29,,,60,12,,概念板块,
886006,钙钛矿电池,1074.18,0.60,1056.05,1067.81,1077.78,1039.63,3248.48,,,55,35,,概念板块,
885989,肝炎概念,1144.69,3.09,1106.53,1110.38,1146.47,1100.74,3531.44,,,121,17,,概念板块,
885427,高端装备,3194.80,1.42,3126.93,3150.06,3203.75,3109.41,5891.72,,,294,99,,概念板块,
886072,高股息精选,1491.07,0.46,1480.09,1484.30,1491.85,1480.09,8674.67,,,182,88,,概念板块,
885562,高铁,3518.34,1.41,3447.60,3469.50,3527.47,3433.23,3623.68,,,145,34,,概念板块,
886001,高压快充,1893.68,1.55,1849.98,1864.77,1899.40,1835.80,2072.98,,,93,29,,概念板块,
886018,高压氧舱,1171.25,3.29,1143.86,1133.92,1175.76,1143.37,397.11,,,11,0,,概念板块,
886033,共封装光学(CPO),5671.75,0.94,5527.66,5619.10,5727.71,5445.28,6559.04,,,137,67,,概念板块,
885924,共同富裕示范区,1456.52,1.79,1423.47,1430.94,1459.06,1423.47,2689.44,,,153,34,,概念板块,
885818,工业大麻,1435.10,2.38,1395.53,1401.79,1438.35,1390.70,633.39,,,26,4,,概念板块,
885783,工业互联网,2578.78,1.68,2519.62,2536.19,2584.58,2514.50,9688.09,,,361,74,,概念板块,
885930,工业母机,1890.83,1.69,1847.32,1859.36,1896.98,1829.12,1696.58,,,86,29,,概念板块,
885739,股权转让(并购重组),1078.57,1.65,1054.96,1061.08,1081.28,1054.01,9633.46,,,357,99,,概念板块,
885734,广东自贸区,1211.62,2.61,1174.76,1180.79,1213.43,1174.02,679.24,,,25,3,,概念板块,
885531,光伏概念,4211.57,0.99,4133.41,4170.21,4223.61,4093.95,12928.40,,,425,167,,概念板块,
886054,光刻机,2536.72,0.09,2489.84,2534.52,2561.04,2434.01,572.41,,,23,26,,概念板块,
885864,光刻胶,4845.81,-0.42,4795.21,4866.09,4877.49,4679.45,913.21,,,38,39,,概念板块,
886011,光热发电,977.62,1.48,955.46,963.38,980.89,952.37,1493.29,,,38,9,,概念板块,
885410,固废处理,2177.24,1.12,2144.07,2153.21,2182.24,2143.72,2821.24,,,122,33,,概念板块,
885958,硅能源,1099.10,0.18,1087.35,1097.09,1102.73,1077.95,2068.94,,,37,24,,概念板块,
885844,国产操作系统,1644.81,1.74,1608.26,1616.61,1650.11,1603.59,1318.53,,,59,8,,概念板块,
885700,军工,2239.17,1.55,2187.25,2205.03,2246.06,2174.63,10476.30,,,479,124,,概念板块,
886021,国企改革,1383.82,1.37,1359.28,1365.15,1386.14,1359.28,38724.10,,,1149,296,,概念板块,
885977,国资云,1472.58,1.80,1436.64,1446.51,1477.38,1435.03,1433.80,,,45,9,,概念板块,
886032,固态电池,1389.74,0.08,1377.50,1388.67,1395.08,1358.80,6200.13,,,168,127,,概念板块,
885865,金属钴,2630.95,-1.36,2652.12,2667.28,2664.05,2589.48,1504.53,,,9,23,,概念板块,
885747,共享单车,1028.75,1.50,1005.04,1013.59,1030.28,1004.95,146.07,,,12,2,,概念板块,
886016,供销社,1061.62,1.94,1039.60,1041.45,1066.35,1039.60,512.90,,,13,2,,概念板块,
885426,海工装备,3449.43,1.75,3369.62,3389.96,3459.53,3356.37,5709.70,,,225,44,,概念板块,
885894,海南自贸区,1479.51,2.06,1446.83,1449.70,1483.69,1443.94,1608.72,,,22,6,,概念板块,
885939,海峡两岸,1796.99,1.57,1756.81,1769.16,1801.95,1748.79,6117.29,,,244,72,,概念板块,
885884,航空发动机,3049.73,1.36,2981.57,3008.76,3060.43,2959.56,1652.85,,,79,19,,概念板块,
885795,国产航母,1877.19,1.35,1843.03,1852.15,1881.13,1834.39,648.97,,,32,4,,概念板块,
885733,航运概念,1676.21,0.63,1661.60,1665.68,1679.10,1661.42,2290.34,,,58,25,,概念板块,
886035,毫米波雷达,2013.18,1.53,1963.76,1982.87,2020.45,1947.37,2810.19,,,100,26,,概念板块,
886077,合成生物,1543.92,2.25,1503.96,1509.99,1546.11,1498.80,3323.99,,,144,24,,概念板块,
885571,核电,3884.53,1.29,3808.16,3834.87,3895.49,3791.68,7786.61,,,274,73,,概念板块,
885849,黑龙江自贸区,1772.71,2.12,1722.64,1735.89,1775.96,1717.45,2051.82,,,27,8,,概念板块,
885827,横琴新区,1781.95,2.37,1729.84,1740.73,1786.24,1728.03,984.25,,,36,5,,概念板块,
886052,核污染防治,1530.84,1.34,1500.56,1510.65,1534.55,1490.31,729.57,,,49,10,,概念板块,
885456,互联网金融,5662.65,2.17,5520.27,5542.34,5674.88,5513.12,5052.42,,,181,31,,概念板块,
885923,鸿蒙概念,1694.22,2.08,1650.75,1659.65,1697.88,1647.49,4295.66,,,229,30,,概念板块,
885994,猴痘概念,892.42,2.00,868.52,874.88,894.05,863.80,1174.37,,,55,19,,概念板块,
885967,化肥,984.91,1.18,969.90,973.44,990.47,969.63,2481.25,,,49,24,,概念板块,
885938,换电概念,1488.28,1.90,1453.55,1460.61,1491.49,1446.69,1518.43,,,80,14,,概念板块,
885530,黄金概念,3803.60,-1.59,3863.63,3865.12,3872.04,3758.66,5330.52,,,24,56,,概念板块,
885903,环氧丙烷,1555.04,0.13,1543.20,1552.95,1561.94,1542.39,682.44,,,14,11,,概念板块,
885806,华为概念,3364.91,1.74,3280.17,3307.47,3374.23,3263.60,22585.50,,,803,193,,概念板块,
885843,华为海思概念股,3957.55,1.45,3855.12,3900.97,3975.70,3811.78,1018.78,,,35,15,,概念板块,
885980,华为鲲鹏,1286.94,2.06,1253.41,1260.90,1290.27,1250.16,2745.45,,,149,25,,概念板块,
885982,华为欧拉,1359.53,2.21,1321.69,1330.09,1363.74,1318.78,683.20,,,37,10,,概念板块,
885834,华为汽车,2769.12,1.76,2702.05,2721.27,2776.22,2688.82,2857.37,,,143,31,,概念板块,
886058,华为昇腾,1436.61,1.76,1400.05,1411.78,1440.79,1395.32,1427.72,,,87,18,,概念板块,
885520,沪股通,2331.13,0.86,2295.75,2311.24,2335.98,2288.22,40318.80,,,1120,496,,概念板块,
885767,互联网保险,878.74,1.08,865.32,869.38,880.82,864.10,511.67,,,17,4,,概念板块,
886051,减肥药,1425.94,2.29,1384.92,1393.97,1428.89,1375.01,1314.90,,,51,14,,概念板块,
886008,减速器,1791.46,1.60,1751.59,1763.19,1796.89,1742.80,1760.07,,,112,26,,概念板块,
885386,建筑节能,1392.45,2.18,1355.74,1362.77,1393.50,1353.92,2042.42,,,93,10,,概念板块,
885981,家庭医生,1152.90,2.48,1124.73,1125.01,1154.93,1120.62,406.40,,,24,2,,概念板块,
885543,家用电器,3888.99,1.86,3790.19,3817.95,3897.70,3781.84,2393.87,,,148,31,,概念板块,
885514,京津冀一体化,1893.12,1.91,1845.95,1857.58,1897.48,1844.91,6877.26,,,247,37,,概念板块,
885961,净水概念,1145.03,1.79,1120.16,1124.94,1146.99,1118.28,901.22,,,63,13,,概念板块,
885972,金属回收,1162.06,0.25,1152.69,1159.16,1165.41,1144.82,3192.03,,,54,34,,概念板块,
885971,金属铅,1970.00,-2.16,2007.51,2013.59,2007.51,1938.17,3134.74,,,8,29,,概念板块,
885970,金属锌,2212.38,-2.16,2253.93,2261.13,2255.18,2181.07,3285.73,,,9,33,,概念板块,
885517,机器人概念,3801.80,1.59,3716.35,3742.41,3812.28,3697.82,20001.10,,,969,243,,概念板块,
886002,机器视觉,1875.29,1.53,1832.33,1846.94,1881.21,1818.08,3269.58,,,195,56,,概念板块,
885578,基因测序,2069.75,1.73,2021.53,2034.57,2073.54,2013.06,2164.45,,,51,18,,概念板块,
886076,军工信息化,1530.65,1.88,1487.76,1502.48,1535.66,1482.33,1244.28,,,100,12,,概念板块,
885743,军民融合,1456.79,1.64,1421.63,1433.26,1461.17,1416.63,4074.66,,,205,39,,概念板块,
885587,举牌,3026.95,0.98,2980.96,2997.59,3036.98,2974.10,221.13,,,14,7,,概念板块,
885907,科创次新股,654.49,-0.19,644.26,655.75,660.08,634.76,347.89,,,13,15,,概念板块,
885901,可降解塑料,1483.88,1.25,1460.70,1465.54,1487.08,1458.50,1403.33,,,65,21,,概念板块,
886065,可控核聚变,2216.03,1.17,2174.74,2190.31,2224.53,2158.61,3933.59,,,92,24,,概念板块,
885748,可燃冰,1529.81,1.34,1503.63,1509.51,1535.14,1502.06,620.60,,,10,4,,概念板块,
886049,空间计算,1202.97,2.03,1173.08,1179.06,1205.72,1167.61,710.80,,,57,6,,概念板块,
886010,空气能热泵,1455.01,2.88,1407.56,1414.21,1457.18,1403.64,1355.13,,,49,4,,概念板块,
885918,快手概念,1800.33,1.84,1756.91,1767.86,1805.03,1750.18,1700.42,,,44,8,,概念板块,
885642,跨境电商,925.40,2.33,900.99,904.30,926.84,900.80,6152.95,,,303,35,,概念板块,
885854,垃圾分类,1774.99,1.76,1736.03,1744.29,1778.29,1734.90,1386.84,,,87,11,,概念板块,
885502,冷链物流,1749.93,2.21,1703.45,1712.05,1753.20,1703.45,4156.37,,,129,23,,概念板块,
885974,两轮车,1608.82,1.08,1581.26,1591.59,1612.08,1578.05,972.37,,,54,24,,概念板块,
885995,粮食概念,865.15,3.60,829.56,835.06,869.12,829.56,2724.98,,,46,1,,概念板块,
885730,量子科技,2366.05,1.70,2305.90,2326.59,2372.93,2296.80,2481.36,,,92,20,,概念板块,
885863,磷化工,3031.85,-0.09,3011.18,3034.60,3038.88,2994.86,1786.52,,,35,33,,概念板块,
885879,流感,1474.26,2.81,1427.03,1434.03,1476.55,1419.15,3918.65,,,160,21,,概念板块,
885990,露营经济,1582.15,2.38,1538.74,1545.41,1584.33,1538.16,534.97,,,45,10,,概念板块,
885936,绿色电力,1140.47,1.22,1121.73,1126.68,1142.49,1120.92,11760.10,,,329,88,,概念板块,
885505,生态农业,1592.43,2.13,1551.00,1559.22,1594.26,1550.94,1942.77,,,57,6,,概念板块,
885497,旅游概念,2614.46,2.26,2549.58,2556.59,2619.24,2549.58,3919.24,,,135,12,,概念板块,
885985,毛发医疗,1100.64,2.17,1075.97,1077.24,1103.74,1075.20,593.24,,,24,2,,概念板块,
885749,蚂蚁集团概念,1500.66,2.10,1460.67,1469.81,1504.57,1457.86,2590.03,,,65,14,,概念板块,
885398,煤化工概念,2412.51,0.92,2380.64,2390.59,2420.11,2380.64,4704.03,,,76,31,,概念板块,
885914,煤炭概念,2311.84,0.64,2287.72,2297.04,2323.50,2287.72,4454.64,,,52,31,,概念板块,
885898,免税店,911.27,2.70,885.38,887.31,911.69,885.38,929.63,,,23,2,,概念板块,
885960,民爆概念,1681.15,-0.05,1670.96,1681.97,1685.86,1664.44,457.09,,,14,9,,概念板块,
885875,MiniLED,2646.28,1.08,2582.28,2618.02,2659.68,2544.57,3500.89,,,70,35,,概念板块,
885490,民营医院,1564.18,2.79,1516.07,1521.75,1567.71,1512.58,4479.74,,,69,5,,概念板块,
885928,钠离子电池,1231.10,-0.22,1227.64,1233.82,1234.99,1212.03,2760.42,,,73,69,,概念板块,
886047,脑机接口,1513.69,1.94,1478.96,1484.91,1517.89,1475.96,1607.88,,,56,14,,概念板块,
885933,NFT概念,1610.03,2.77,1562.31,1566.55,1612.39,1562.31,1854.53,,,64,6,,概念板块,
885969,金属镍,1237.97,-0.82,1245.19,1248.26,1245.19,1217.53,2218.62,,,15,23,,概念板块,
885629,农村电商,1687.08,2.01,1648.36,1653.82,1689.23,1648.36,1217.49,,,32,4,,概念板块,
885706,农机,1218.98,1.97,1192.41,1195.47,1222.50,1191.97,1130.27,,,84,11,,概念板块,
885812,农业种植,2401.14,2.60,2327.02,2340.24,2402.44,2327.02,3094.28,,,79,12,,概念板块,
885738,OLED,2990.19,-0.00,2942.65,2990.28,3008.30,2878.30,5082.65,,,78,75,,概念板块,
885959,PCB概念,2523.86,0.67,2473.96,2507.14,2542.92,2429.07,5467.69,,,147,88,,概念板块,
886063,PEEK材料,1884.66,1.42,1846.10,1858.20,1889.03,1827.59,806.26,,,40,14,,概念板块,
885937,培育钻石,2322.53,1.98,2257.25,2277.45,2329.57,2223.83,481.05,,,13,6,,概念板块,
886020,PET铜箔,1934.27,0.26,1903.47,1929.35,1949.55,1859.11,1615.48,,,29,21,,概念板块,
885780,啤酒概念,1471.44,2.24,1435.66,1439.22,1473.39,1435.66,638.43,,,26,3,,概念板块,
885910,拼多多概念,1586.09,2.41,1536.82,1548.73,1590.17,1536.57,625.56,,,34,6,,概念板块,
885376,苹果概念,5750.93,1.34,5612.97,5674.77,5786.60,5539.24,4201.77,,,94,45,,概念板块,
885555,PM2.5,1740.82,1.36,1704.84,1717.45,1746.06,1694.15,400.70,,,26,8,,概念板块,
886026,POE胶膜,870.06,1.15,857.22,860.17,871.76,854.14,491.82,,,22,7,,概念板块,
885690,PPP概念,902.40,1.76,883.28,886.79,903.80,882.37,4726.68,,,166,27,,概念板块,
885902,汽车拆解概念,1520.57,0.81,1503.38,1508.40,1525.25,1499.64,637.19,,,15,8,,概念板块,
885545,汽车电子,5432.93,1.37,5298.08,5359.32,5451.86,5241.78,7645.86,,,291,100,,概念板块,
885999,汽车热管理,1982.45,1.90,1933.23,1945.44,1985.90,1924.04,1573.67,,,110,31,,概念板块,
885945,汽车芯片,1286.94,0.76,1257.31,1277.19,1292.60,1239.53,3074.66,,,95,47,,概念板块,
885570,期货概念,1728.47,0.94,1708.78,1712.41,1730.01,1708.78,2227.98,,,55,14,,概念板块,
885852,青蒿素,2078.10,2.06,2027.05,2036.23,2080.30,2010.46,306.89,,,9,0,,概念板块,
885823,氢能源,2578.41,1.38,2526.43,2543.36,2584.03,2519.68,8988.97,,,307,90,,概念板块,
885508,禽流感,2145.50,2.13,2090.71,2100.70,2148.64,2084.39,520.33,,,24,1,,概念板块,
885757,区块链,1420.79,2.17,1382.21,1390.66,1424.08,1380.27,7069.94,,,229,29,,概念板块,
885633,染料,1469.82,1.01,1441.65,1455.16,1473.83,1441.65,431.60,,,30,9,,概念板块,
885775,燃料电池,1932.75,1.28,1895.58,1908.25,1937.74,1885.30,4001.63,,,159,51,,概念板块,
885728,人工智能,1264.01,1.88,1233.59,1240.71,1267.21,1230.77,19859.50,,,900,172,,概念板块,
886069,人形机器人,2327.05,1.42,2276.09,2294.39,2334.45,2257.70,7214.11,,,348,114,,概念板块,
885839,人造肉,1495.82,1.34,1464.70,1476.10,1498.83,1460.40,445.22,,,15,5,,概念板块,
885759,人脸识别,1272.39,1.66,1243.32,1251.60,1276.51,1240.29,1543.58,,,88,20,,概念板块,
885338,融资融券,1747.73,1.22,1715.82,1726.64,1751.58,1710.59,82091.80,,,2815,1003,,概念板块,
885809,柔性屏(折叠屏),3157.07,1.23,3080.69,3118.86,3175.79,3035.99,3794.78,,,74,34,,概念板块,
885948,柔性直流输电,1468.49,1.52,1435.88,1446.46,1472.54,1428.22,2085.60,,,50,16,,概念板块,
885462,乳业,2031.41,3.05,1966.69,1971.21,2033.39,1966.69,986.03,,,32,3,,概念板块,
885792,赛马概念,1053.67,2.88,1020.99,1024.20,1055.46,1020.99,56.02,,,4,0,,概念板块,
885493,上海国企改革,1723.65,1.50,1694.42,1698.20,1727.58,1693.97,896.65,,,44,8,,概念板块,
885472,上海自贸区,4211.81,1.75,4125.12,4139.32,4220.14,4125.12,990.63,,,43,12,,概念板块,
886078,商业航天,2068.03,1.27,2022.41,2042.07,2075.47,2006.59,8618.95,,,386,114,,概念板块,
885694,深股通,1271.69,1.42,1245.18,1253.87,1274.92,1240.54,46931.50,,,1416,451,,概念板块,
885845,生物疫苗,1666.32,1.94,1623.07,1634.64,1670.61,1612.15,1600.15,,,51,10,,概念板块,
886005,生物质能发电,1031.47,1.35,1014.17,1017.76,1033.38,1014.17,1312.83,,,57,8,,概念板块,
885697,深圳国企改革,1757.29,2.27,1711.67,1718.36,1764.01,1711.67,673.80,,,25,4,,概念板块,
886036,时空大数据,1375.95,1.65,1346.40,1353.63,1380.10,1339.99,953.70,,,59,8,,概念板块,
885781,石墨电极,1029.43,0.98,1013.26,1019.48,1029.95,1012.21,693.12,,,17,9,,概念板块,
885355,石墨烯,1692.61,1.25,1657.05,1671.76,1696.51,1648.16,1756.20,,,59,18,,概念板块,
885406,食品安全,4629.61,1.92,4509.41,4542.46,4640.68,4507.78,1114.90,,,70,12,,概念板块,
885457,手机游戏,2587.58,2.00,2528.95,2536.90,2593.48,2528.62,1219.22,,,49,6,,概念板块,
885572,水利,2352.31,1.84,2296.25,2309.78,2357.31,2292.74,5427.20,,,228,30,,概念板块,
885782,水泥概念,1162.97,1.55,1140.15,1145.19,1164.58,1140.15,1402.14,,,41,5,,概念板块,
885942,数据安全,1072.87,1.90,1044.70,1052.90,1075.43,1042.35,3384.15,,,149,24,,概念板块,
886023,数据确权,1388.86,2.39,1349.22,1356.45,1391.60,1345.74,1373.01,,,64,4,,概念板块,
886041,数据要素,1143.79,1.99,1114.51,1121.45,1146.67,1112.12,7675.87,,,339,53,,概念板块,
885887,数据中心(AIDC),2216.07,1.55,2161.52,2182.18,2223.22,2149.67,15511.90,,,494,151,,概念板块,
885866,数字货币,1902.49,2.55,1845.21,1855.18,1906.01,1839.67,2616.09,,,78,12,,概念板块,
885976,数字经济,1490.93,1.89,1454.76,1463.26,1494.64,1453.15,10711.30,,,433,72,,概念板块,
885820,数字孪生,1822.24,1.66,1780.48,1792.43,1828.07,1773.91,3605.84,,,174,38,,概念板块,
886034,数字水印,1030.62,1.94,1006.72,1011.03,1033.02,998.47,778.66,,,24,6,,概念板块,
885842,数字乡村,1670.44,2.18,1625.85,1634.78,1673.54,1625.28,1838.00,,,93,8,,概念板块,
886068,AI视频,1985.45,1.81,1941.14,1950.22,1990.62,1937.27,1574.64,,,50,7,,概念板块,
885699,ST板块,487.18,1.27,478.78,481.07,487.49,478.27,2672.66,,,145,44,,概念板块,
886050,算力租赁,1350.79,1.63,1316.60,1329.17,1354.64,1312.92,4628.15,,,151,33,,概念板块,
885652,钛白粉概念,1832.58,0.59,1813.33,1821.90,1835.10,1805.04,289.32,,,11,4,,概念板块,
886043,太赫兹,1925.48,2.24,1856.37,1883.34,1937.78,1844.12,750.86,,,21,1,,概念板块,
885986,碳交易,977.75,1.16,963.05,966.58,979.28,962.43,3554.70,,,100,17,,概念板块,
885650,碳纤维,1913.57,1.08,1880.70,1893.16,1919.00,1868.08,1164.46,,,58,24,,概念板块,
885919,碳中和,1884.77,1.59,1845.87,1855.19,1889.62,1844.92,7600.77,,,225,48,,概念板块,
885428,特钢概念,2930.49,1.16,2878.91,2896.92,2936.64,2874.63,1528.50,,,32,10,,概念板块,
885425,特高压,4885.41,1.46,4767.62,4815.04,4898.38,4744.98,3840.48,,,98,33,,概念板块,
885779,腾讯概念,1261.28,2.06,1227.06,1235.77,1264.72,1225.63,7188.96,,,251,45,,概念板块,
885750,特色小镇,488.75,1.69,479.37,480.62,490.05,479.37,1013.31,,,30,7,,概念板块,
885467,特斯拉概念,5267.42,1.17,5170.83,5206.48,5282.02,5130.21,4843.90,,,177,70,,概念板块,
885487,天津自贸区,1061.91,1.54,1038.48,1045.77,1064.19,1037.67,338.60,,,14,3,,概念板块,
885430,天然气,1621.50,1.46,1590.12,1598.14,1624.60,1589.00,4054.90,,,127,33,,概念板块,
885615,体育产业,980.10,2.10,955.00,959.94,982.42,954.70,2744.00,,,117,16,,概念板块,
885973,金属铜,1813.31,-1.27,1829.95,1836.67,1832.21,1786.27,4872.68,,,35,58,,概念板块,
886075,同花顺出海50,1827.86,0.88,1803.78,1812.00,1835.25,1803.51,2234.15,,,32,18,,概念板块,
885916,同花顺漂亮100,823.12,0.15,819.41,821.86,823.98,817.00,5446.12,,,58,42,,概念板块,
886045,同花顺中特估100,1159.28,0.43,1153.07,1154.34,1159.94,1153.07,6605.80,,,68,28,,概念板块,
886073,铜缆高速连接,2951.28,2.08,2852.39,2891.24,2975.57,2822.86,1373.05,,,39,8,,概念板块,
885988,统一大市场,1312.18,1.82,1283.98,1288.77,1314.37,1283.98,2932.44,,,99,20,,概念板块,
886007,TOPCON电池,1099.32,0.63,1083.82,1092.40,1102.37,1069.84,2126.58,,,50,31,,概念板块,
885439,土地流转,1961.72,2.10,1914.17,1921.38,1963.96,1914.17,1701.13,,,37,5,,概念板块,
885968,托育服务,993.03,1.45,975.66,978.85,995.14,973.51,371.50,,,13,3,,概念板块,
885962,土壤修复,1027.78,1.87,1002.92,1008.89,1030.31,1002.82,2166.51,,,80,9,,概念板块,
885876,网红经济,1382.52,2.40,1343.90,1350.10,1384.70,1343.90,2584.95,,,102,14,,概念板块,
885603,网络游戏,1510.40,1.86,1476.05,1482.78,1512.96,1475.92,1670.68,,,58,6,,概念板块,
885753,网约车,1373.03,1.53,1339.33,1352.36,1377.88,1338.86,567.35,,,24,4,,概念板块,
885925,MCU芯片,1643.40,1.20,1602.75,1623.94,1649.59,1585.10,2129.23,,,71,22,,概念板块,
885574,卫星导航,4306.04,1.52,4194.22,4241.70,4321.47,4168.71,4571.45,,,226,51,,概念板块,
885418,文化传媒概念,2623.48,2.21,2557.41,2566.77,2628.61,2556.79,4449.46,,,177,17,,概念板块,
885940,WiFi 6,2106.11,1.49,2046.42,2075.11,2114.44,2024.34,1110.81,,,45,14,,概念板块,
885312,物联网,2902.97,1.82,2830.48,2850.93,2911.38,2824.24,8772.46,,,387,78,,概念板块,
885564,无人机,2914.88,1.47,2850.93,2872.55,2924.08,2831.62,7863.72,,,359,101,,概念板块,
885736,无人驾驶,2759.41,1.45,2698.07,2720.08,2767.80,2684.34,6983.45,,,319,84,,概念板块,
885768,无人零售,1281.72,2.50,1242.70,1250.41,1285.35,1242.66,659.18,,,23,2,,概念板块,
885412,污水处理,1746.20,1.51,1712.59,1720.20,1750.06,1711.90,3989.97,,,182,41,,概念板块,
885774,无线充电,2018.45,1.82,1968.03,1982.36,2025.20,1954.62,1179.84,,,48,11,,概念板块,
885868,无线耳机,2444.13,2.10,2373.04,2393.78,2452.30,2355.44,2368.66,,,75,23,,概念板块,
885915,物业管理,1150.34,2.74,1114.44,1119.67,1151.85,1114.44,5392.69,,,165,16,,概念板块,
885744,雄安新区,1107.80,1.90,1081.53,1087.17,1109.88,1080.87,4840.12,,,175,16,,概念板块,
885705,乡村振兴,1099.82,2.00,1072.85,1078.29,1101.38,1072.85,11482.90,,,367,60,,概念板块,
886009,先进封装,2570.25,0.01,2531.57,2570.06,2589.32,2470.27,5396.09,,,97,104,,概念板块,
885882,消毒剂,2002.29,1.37,1963.14,1975.20,2004.44,1960.25,1130.10,,,46,15,,概念板块,
885800,消费电子概念,3073.62,1.23,3002.06,3036.34,3085.40,2964.04,9285.72,,,361,140,,概念板块,
885552,小金属概念,3547.70,-0.94,3558.85,3581.17,3571.38,3493.18,7967.44,,,63,106,,概念板块,
885785,小米概念,2017.98,1.32,1972.72,1991.68,2024.47,1954.31,8300.29,,,267,105,,概念板块,
886064,小米汽车,1525.57,1.52,1493.82,1502.69,1529.42,1483.11,1929.74,,,94,26,,概念板块,
885769,细胞免疫治疗,1222.30,2.91,1180.10,1187.69,1224.95,1171.12,1531.71,,,53,13,,概念板块,
886013,信创,1894.22,1.84,1846.76,1859.92,1899.79,1840.54,4884.96,,,253,48,,概念板块,
886055,星闪概念,1341.97,1.68,1309.56,1319.79,1345.56,1304.88,1077.01,,,57,16,,概念板块,
885598,新股与次新股,12421.58,0.75,12196.78,12329.58,12445.85,12147.90,704.29,,,105,45,,概念板块,
885345,新疆振兴,974.83,1.53,954.83,960.11,976.66,954.83,4133.06,,,124,26,,概念板块,
885431,新能源汽车,4479.29,1.53,4377.00,4411.57,4491.25,4347.37,19474.90,,,804,250,,概念板块,
885756,芯片概念,4801.90,0.74,4706.78,4766.48,4823.49,4640.78,18122.20,,,576,333,,概念板块,
885814,信托概念,1136.66,2.04,1112.22,1113.89,1138.30,1112.22,945.40,,,21,2,,概念板块,
885459,网络安全,5165.34,1.96,5026.50,5065.95,5179.44,5012.73,4105.54,,,167,25,,概念板块,
885991,新型城镇化,1239.04,2.27,1205.13,1211.48,1240.96,1204.47,4308.36,,,199,16,,概念板块,
886057,新型工业化,1648.94,1.95,1605.61,1617.41,1653.52,1595.90,3394.29,,,241,49,,概念板块,
885899,新型烟草(电子烟),1991.14,1.89,1932.51,1954.26,1999.23,1916.71,974.02,,,39,13,,概念板块,
885343,稀土永磁,3526.23,0.32,3496.27,3515.00,3538.94,3466.95,1775.19,,,34,30,,概念板块,
886028,血氧仪,1674.04,2.01,1635.43,1641.12,1678.35,1628.21,381.16,,,20,4,,概念板块,
886004,虚拟电厂,1478.13,1.06,1455.14,1462.57,1481.70,1448.48,4039.83,,,123,31,,概念板块,
885950,虚拟数字人,1302.46,2.04,1270.07,1276.42,1305.56,1267.66,3869.99,,,154,21,,概念板块,
885709,虚拟现实,965.85,1.92,940.17,947.66,968.78,936.02,6947.62,,,236,50,,概念板块,
885926,牙科医疗,1124.47,1.62,1098.26,1106.49,1126.87,1096.39,616.49,,,23,7,,概念板块,
885851,烟草,1463.96,2.20,1424.47,1432.50,1467.39,1422.07,328.28,,,37,4,,概念板块,
885808,养鸡,1179.72,2.10,1150.78,1155.48,1180.11,1150.78,422.39,,,20,2,,概念板块,
885522,养老概念,2076.82,2.69,2017.77,2022.40,2080.21,2016.28,5433.65,,,205,18,,概念板块,
885595,央企国企改革,2998.36,1.15,2951.36,2964.21,3003.17,2951.36,11282.50,,,307,83,,概念板块,
885922,盐湖提锂,1809.65,-0.49,1810.38,1818.61,1815.58,1785.02,1345.35,,,21,24,,概念板块,
885838,眼科医疗,1714.74,2.71,1662.50,1669.58,1718.46,1658.12,996.84,,,52,8,,概念板块,
886044,液冷服务器,2168.68,1.92,2105.08,2127.76,2178.26,2085.77,6291.14,,,173,54,,概念板块,
885372,页岩气,2689.77,1.87,2625.43,2640.41,2696.39,2624.70,1809.71,,,43,6,,概念板块,
885494,一带一路,2299.74,1.59,2251.63,2263.62,2304.43,2250.18,19120.30,,,619,162,,概念板块,
885333,移动支付,2231.73,1.71,2175.51,2194.27,2237.12,2169.81,2197.20,,,59,18,,概念板块,
885913,医美概念,1284.55,2.42,1250.06,1254.15,1286.79,1246.52,1679.80,,,84,9,,概念板块,
886048,英伟达概念,1783.92,1.10,1742.22,1764.42,1793.35,1729.25,1865.63,,,55,24,,概念板块,
886000,一体化压铸,1192.94,1.69,1169.85,1173.07,1196.32,1164.28,952.82,,,46,8,,概念板块,
885539,医疗器械概念,3000.03,1.96,2928.27,2942.44,3006.06,2915.29,7402.22,,,328,77,,概念板块,
